# Phase 3 — Authoritative KRX ticker map for the Korean broker-report pipeline.
#
# Schema (PR #21):
#   company_name_kr    canonical Korean company name as it appears on KRX
#   ticker             KRX:NNNNNN (always KRX-prefixed; 6-digit code)
#   aliases            optional, semicolon-separated alternate names that should
#                      resolve to the same ticker (renames, English-name forms)
#   market             one of {KOSPI, KOSDAQ, KONEX}
#   notes              free-form; may be blank
#
# Governance (PR #21):
#   * Listed entities only. IPO candidates / pre-listing companies are NOT
#     allowed — see docs/CLAUDE_CODE_RUNBOOK.md "Ticker map governance".
#   * Every ticker MUST match KRX:[0-9]{6}. Codes that aren't certain are
#     left out (and tracked under docs/TICKER_MAP_TODO.md), never guessed.
#   * Duplicate company_name_kr or duplicate ticker is a verification failure.
#   * Aliases that collide with another canonical name are a verification failure.
#   * This file is data — it is NOT a trading signal. The Phase 3 pipeline
#     keeps direct_trade_signal=false everywhere; the ticker map exists only
#     to translate Korean names from broker PDFs into KRX codes for the
#     strict gate.
#
# Verify with:
#   python3 stock_research/phase3_report_pipeline/scripts/ticker_resolver.py \
#       --verify --ticker-map stock_research/phase3_report_pipeline/resources/ticker_map.csv
company_name_kr,ticker,aliases,market,notes
LIG넥스원,KRX:079550,,KOSPI,
한화시스템,KRX:272210,,KOSPI,
현대로템,KRX:064350,Hyundai Rotem,KOSPI,
풍산,KRX:103140,,KOSPI,
HD한국조선해양,KRX:009540,한국조선해양;Korea Shipbuilding & Offshore Engineering,KOSPI,renamed from 한국조선해양
HD현대중공업,KRX:329180,현대중공업;Hyundai Heavy Industries,KOSPI,
한화오션,KRX:042660,대우조선해양;Hanwha Ocean,KOSPI,renamed from 대우조선해양 in 2023
삼성중공업,KRX:010140,Samsung Heavy Industries,KOSPI,
HD현대미포,KRX:010620,현대미포조선,KOSPI,renamed from 현대미포조선
HD현대일렉트릭,KRX:267260,현대일렉트릭;Hyundai Electric,KOSPI,renamed from 현대일렉트릭
효성중공업,KRX:298040,Hyosung Heavy Industries,KOSPI,
LS ELECTRIC,KRX:010120,LS일렉트릭;LS산전,KOSPI,renamed from LS산전
HMM,KRX:011200,에이치엠엠,KOSPI,
대한항공,KRX:003490,Korean Air,KOSPI,
KT,KRX:030200,케이티,KOSPI,
SK텔레콤,KRX:017670,SK Telecom,KOSPI,
LG유플러스,KRX:032640,LG U+;LGU+,KOSPI,
카카오뱅크,KRX:323410,KakaoBank,KOSPI,
카카오페이,KRX:377300,KakaoPay,KOSPI,
크래프톤,KRX:259960,KRAFTON,KOSPI,
대덕전자,KRX:353200,Daeduck Electronics,KOSPI,split from former 대덕 in 2020
SK스퀘어,KRX:402340,SK Square,KOSPI,2021 split from SK텔레콤
에이피알,KRX:278470,APR;에이피알(주),KOSPI,2024 IPO on KOSPI
유한양행,KRX:000100,Yuhan,KOSPI,
한미약품,KRX:128940,Hanmi Pharm,KOSPI,
아모레퍼시픽,KRX:090430,Amorepacific,KOSPI,
LG생활건강,KRX:051900,LG H&H,KOSPI,
코스맥스,KRX:192820,Cosmax,KOSPI,
산일전기,KRX:062040,Sanil Electric,KOSPI,2024 IPO on KOSPI
노타,KRX:486990,NOTA;노타AI,KOSDAQ,2024 IPO on KOSDAQ
알테오젠,KRX:196170,Alteogen,KOSDAQ,
한올바이오파마,KRX:009420,HanAll Biopharma,KOSDAQ,
디앤디파마텍,KRX:347700,D&D Pharmatech,KOSDAQ,
파마리서치,KRX:214450,Pharma Research,KOSDAQ,
휴젤,KRX:145020,Hugel,KOSDAQ,
클래시스,KRX:214150,Classys,KOSDAQ,
리노공업,KRX:058470,Leeno Industrial,KOSDAQ,
동진쎄미켐,KRX:005290,Dongjin Semichem,KOSDAQ,
원익IPS,KRX:240810,Wonik IPS,KOSDAQ,
이오테크닉스,KRX:039030,EO Technics,KOSDAQ,
HPSP,KRX:403870,,KOSDAQ,
솔브레인,KRX:357780,Soulbrain,KOSDAQ,
레인보우로보틱스,KRX:277810,Rainbow Robotics,KOSDAQ,
두산,KRX:000150,Doosan Corporation,KOSPI,Doosan group holding company
두산퓨얼셀,KRX:336260,Doosan Fuel Cell,KOSPI,2019 split from 두산
두산테스나,KRX:131970,Doosan Tesna;테스나,KOSDAQ,renamed from 테스나 after 2022 acquisition
하이브,KRX:352820,HYBE,KOSPI,2020 IPO on KOSPI
세아베스틸지주,KRX:001430,세아베스틸;SeAH Besteel Holdings,KOSPI,renamed from 세아베스틸 in 2022 holdco restructure
HD현대에너지솔루션,KRX:322000,현대에너지솔루션;Hyundai Energy Solutions,KOSPI,renamed from 현대에너지솔루션
HL만도,KRX:204320,만도;HL Mando,KOSPI,renamed from 만도 in 2022 Halla restructure
한미사이언스,KRX:008930,Hanmi Science,KOSPI,Hanmi pharma holding company
SK아이이테크놀로지,KRX:361610,SKIET;SK IE Technology,KOSPI,2021 IPO
대한유화,KRX:006650,Korea Petrochemical Industry,KOSPI,
에코프로,KRX:086520,Ecopro,KOSDAQ,parent of 에코프로비엠
에코프로비엠,KRX:247540,Ecopro BM,KOSDAQ,
에이비엘바이오,KRX:298380,ABL Bio,KOSDAQ,
LX인터내셔널,KRX:001120,LG상사;엘지상사;LX International,KOSPI,renamed from LG상사 in 2021 LG/LX split (ticker code unchanged)
LG이노텍,KRX:011070,엘지이노텍;LG INNOTEK;LG Innotek,KOSPI,LG group display/optical components
현대건설,KRX:000720,Hyundai E&C;Hyundai Engineering & Construction,KOSPI,Hyundai Group construction subsidiary
대우건설,KRX:047040,Daewoo E&C;Daewoo Engineering & Construction,KOSPI,
한화솔루션,KRX:009830,한화케미칼;Hanwha Solutions;Hanwha Chemical,KOSPI,renamed from 한화케미칼 in 2020 (chemical+solar holding)
한국타이어앤테크놀로지,KRX:161390,한국타이어;Hankook Tire;Hankook Tire & Technology,KOSPI,renamed from 한국타이어 in 2019 (operating co; holdco is 한국앤컴퍼니 KRX:000240)
롯데정밀화학,KRX:004000,삼성정밀화학;Lotte Fine Chemical,KOSPI,renamed from 삼성정밀화학 in 2016 (Lotte takeover)
롯데렌탈,KRX:089860,Lotte Rental,KOSPI,2021 IPO on KOSPI
롯데하이마트,KRX:071840,Lotte Himart,KOSPI,Lotte Group consumer electronics retail
제일기획,KRX:030000,Cheil Worldwide,KOSPI,Samsung Group advertising subsidiary
넥센타이어,KRX:002350,Nexen Tire,KOSPI,
금호타이어,KRX:073240,Kumho Tire,KOSPI,
대한전선,KRX:001440,Taihan Cable & Solution,KOSPI,
인텔리안테크,KRX:189300,Intellian Technologies,KOSDAQ,satellite antenna manufacturer
HK이노엔,KRX:195940,HK inno.N,KOSDAQ,2021 IPO; CKD Bio split (formerly 한국콜마홀딩스 식품/제약)
KG모빌리티,KRX:003620,쌍용자동차;Ssangyong Motor;KG Mobility,KOSPI,renamed from 쌍용자동차 in 2023 (KG Group takeover)
iM금융지주,KRX:139130,DGB금융지주;DGB Financial Group;iM Financial,KOSPI,renamed from DGB금융지주 in 2024
RFHIC,KRX:218410,RFHIC Corp,KOSDAQ,RF semiconductor designer; 2017 KOSDAQ IPO
에치에프알,KRX:230240,HFR;HFR Inc,KOSDAQ,5G xhaul / mobile network equipment; KOSDAQ-listed
